Category: All categories

Week,lenovo: (United States)
2016-12-18,77
2016-12-25,84
2017-01-01,71
2017-01-08,74
2017-01-15,69
2017-01-22,66
2017-01-29,63
2017-02-05,67
2017-02-12,62
2017-02-19,61
2017-02-26,65
2017-03-05,62
2017-03-12,65
2017-03-19,66
2017-03-26,64
2017-04-02,62
2017-04-09,62
2017-04-16,63
2017-04-23,61
2017-04-30,58
2017-05-07,61
2017-05-14,61
2017-05-21,60
2017-05-28,62
2017-06-04,55
2017-06-11,57
2017-06-18,60
2017-06-25,62
2017-07-02,58
2017-07-09,63
2017-07-16,64
2017-07-23,63
2017-07-30,63
2017-08-06,73
2017-08-13,72
2017-08-20,64
2017-08-27,70
2017-09-03,66
2017-09-10,65
2017-09-17,61
2017-09-24,62
2017-10-01,63
2017-10-08,62
2017-10-15,60
2017-10-22,62
2017-10-29,63
2017-11-05,64
2017-11-12,70
2017-11-19,100
2017-11-26,88
2017-12-03,66
2017-12-10,67
2017-12-17,65
2017-12-24,71
2017-12-31,60
2018-01-07,65
2018-01-14,66
2018-01-21,64
2018-01-28,63
2018-02-04,62
2018-02-11,59
2018-02-18,62
2018-02-25,59
2018-03-04,53
2018-03-11,57
2018-03-18,60
2018-03-25,57
2018-04-01,55
2018-04-08,57
2018-04-15,54
2018-04-22,51
2018-04-29,56
2018-05-06,53
2018-05-13,57
2018-05-20,59
2018-05-27,57
2018-06-03,58
2018-06-10,56
2018-06-17,54
2018-06-24,58
2018-07-01,49
2018-07-08,58
2018-07-15,60
2018-07-22,61
2018-07-29,66
2018-08-05,64
2018-08-12,67
2018-08-19,66
2018-08-26,69
2018-09-02,61
2018-09-09,58
2018-09-16,56
2018-09-23,60
2018-09-30,54
2018-10-07,57
2018-10-14,55
2018-10-21,57
2018-10-28,59
2018-11-04,62
2018-11-11,64
2018-11-18,97
2018-11-25,84
2018-12-02,65
2018-12-09,70
2018-12-16,72
2018-12-23,70
2018-12-30,62
2019-01-06,65
2019-01-13,63
2019-01-20,61
2019-01-27,63
2019-02-03,61
2019-02-10,63
2019-02-17,64
2019-02-24,58
2019-03-03,63
2019-03-10,58
2019-03-17,58
2019-03-24,58
2019-03-31,56
2019-04-07,53
2019-04-14,53
2019-04-21,56
2019-04-28,55
2019-05-05,51
2019-05-12,55
2019-05-19,55
2019-05-26,55
2019-06-02,58
2019-06-09,58
2019-06-16,60
2019-06-23,52
2019-06-30,50
2019-07-07,57
2019-07-14,65
2019-07-21,58
2019-07-28,57
2019-08-04,60
2019-08-11,65
2019-08-18,69
2019-08-25,64
2019-09-01,61
2019-09-08,59
2019-09-15,61
2019-09-22,57
2019-09-29,58
2019-10-06,55
2019-10-13,55
2019-10-20,61
2019-10-27,56
2019-11-03,60
2019-11-10,61
2019-11-17,64
2019-11-24,93
2019-12-01,89
2019-12-08,64
2019-12-15,64
2019-12-22,67
2019-12-29,58
2020-01-05,65
2020-01-12,63
2020-01-19,63
2020-01-26,61
2020-02-02,54
2020-02-09,61
2020-02-16,59
2020-02-23,59
2020-03-01,56
2020-03-08,62
2020-03-15,73
2020-03-22,82
2020-03-29,82
2020-04-05,77
2020-04-12,80
2020-04-19,81
2020-04-26,71
2020-05-03,69
2020-05-10,74
2020-05-17,73
2020-05-24,69
2020-05-31,65
2020-06-07,69
2020-06-14,70
2020-06-21,72
2020-06-28,65
2020-07-05,69
2020-07-12,74
2020-07-19,73
2020-07-26,74
2020-08-02,82
2020-08-09,83
2020-08-16,85
2020-08-23,86
2020-08-30,81
2020-09-06,75
2020-09-13,72
2020-09-20,63
2020-09-27,62
2020-10-04,60
2020-10-11,67
2020-10-18,61
2020-10-25,60
2020-11-01,48
2020-11-08,75
2020-11-15,79
2020-11-22,89
2020-11-29,83
2020-12-06,71
2020-12-13,68
2020-12-20,69
2020-12-27,59
2021-01-03,68
2021-01-10,65
2021-01-17,66
2021-01-24,66
2021-01-31,61
2021-02-07,59
2021-02-14,61
2021-02-21,62
2021-02-28,61
2021-03-07,60
2021-03-14,60
2021-03-21,58
2021-03-28,51
2021-04-04,56
2021-04-11,57
2021-04-18,56
2021-04-25,57
2021-05-02,56
2021-05-09,57
2021-05-16,56
2021-05-23,55
2021-05-30,51
2021-06-06,52
2021-06-13,52
2021-06-20,62
2021-06-27,58
2021-07-04,51
2021-07-11,55
2021-07-18,58
2021-07-25,59
2021-08-01,59
2021-08-08,59
2021-08-15,60
2021-08-22,63
2021-08-29,61
2021-09-05,55
2021-09-12,56
2021-09-19,59
2021-09-26,53
2021-10-03,44
2021-10-10,41
2021-10-17,43
2021-10-24,43
2021-10-31,46
2021-11-07,46
2021-11-14,51
2021-11-21,55
2021-11-28,53
2021-12-05,44
2021-12-12,44
